"Name","URL","Description","Language","Updated","Stars","Issues"
"auth0/node-jsonwebtoken","https://github.com/auth0/node-jsonwebtoken","JsonWebToken implementation for node.js http://self-issued.info/docs/draft-ietf-oauth-json-web-token.html","JavaScript","2018-07-16","8071","37"
"auth0/express-jwt","https://github.com/auth0/express-jwt","connect/express middleware that validates a JsonWebToken (JWT) and set the req.user with the attributes","JavaScript","2018-07-16","2678","41"
"auth0/java-jwt","https://github.com/auth0/java-jwt","Java implementation of JSON Web Token (JWT)","Java","2018-07-16","1942","27"
"auth0/angular2-jwt","https://github.com/auth0/angular2-jwt","Helper library for handling JWTs in Angular 2+ apps","TypeScript","2018-07-16","1838","114"
"auth0/angular-jwt","https://github.com/auth0/angular-jwt","Library to help you work with JWTs on AngularJS","JavaScript","2018-07-11","1220","40"
"auth0/jwt-decode","https://github.com/auth0/jwt-decode","Decode JWT tokens; useful for browser applications.","JavaScript","2018-07-16","936","21"
"auth0-community/socketio-jwt","https://github.com/auth0-community/socketio-jwt","Authenticate socket.io incoming connections with JWTs","JavaScript","2018-07-15","833","39"
"auth0/lock","https://github.com/auth0/lock","Auth0's signin solution","JavaScript","2018-07-12","770","29"
"auth0/angular-storage","https://github.com/auth0/angular-storage","A storage library for AngularJS done right","JavaScript","2018-07-04","661","21"
"auth0/sharelock","https://github.com/auth0/sharelock","Securely share data","HTML","2018-07-10","629","11"
"auth0/go-jwt-middleware","https://github.com/auth0/go-jwt-middleware","A Middleware for Go Programming Language to check for JWTs on HTTP requests","Go","2018-07-11","412","28"
"auth0/auth0.js","https://github.com/auth0/auth0.js","Auth0 headless browser sdk","JavaScript","2018-07-16","380","16"
"auth0/react-native-lock","https://github.com/auth0/react-native-lock","[DEPRECATED] A wrapper of Lock to use with React Native (iOS & Android)","Java","2018-05-12","291","44"
"auth0/SimpleKeychain","https://github.com/auth0/SimpleKeychain","A Keychain helper for iOS to make it very simple to store/obtain values from iOS Keychain","Objective-C","2018-07-11","285","2"
"auth0/wt-cli","https://github.com/auth0/wt-cli","Webtask CLI - all you need is code","JavaScript","2018-07-11","281","44"
"auth0/node-auth0","https://github.com/auth0/node-auth0","Node.js client library for the Auth0 platform.","JavaScript","2018-07-16","249","17"
